Code,Description
A00.0,"cholera due to vibrio cholerae 01, biovar cholerae"
A00.1,"cholera due to vibrio cholerae 01, biovar eltor"
A00.9,"cholera, unspecified"
A01.00,"typhoid fever, unspecified"
A01.01,typhoid meningitis
A01.02,typhoid fever with heart involvement
A01.03,typhoid pneumonia
A01.04,typhoid arthritis
A01.05,typhoid osteomyelitis
A01.09,typhoid fever with other complications
A01.1,paratyphoid fever a
A01.2,paratyphoid fever b
A01.3,paratyphoid fever c
A01.4,"paratyphoid fever, unspecified"
A02.0,salmonella enteritis
A02.1,salmonella sepsis
A02.20,"localized salmonella infection, unspecified"
A02.21,salmonella meningitis
A02.22,salmonella pneumonia
A02.23,salmonella arthritis
A02.24,salmonella osteomyelitis
A02.25,salmonella pyelonephritis
A02.29,salmonella with other localized infection
A02.8,other specified salmonella infections
A02.9,"salmonella infection, unspecified"
A03.0,shigellosis due to shigella dysenteriae
A03.1,shigellosis due to shigella flexneri
A03.2,shigellosis due to shigella boydii
A03.3,shigellosis due to shigella sonnei
A03.8,other shigellosis
A03.9,"shigellosis, unspecified"
A04.0,enteropathogenic escherichia coli infection
A04.1,enterotoxigenic escherichia coli infection
A04.2,enteroinvasive escherichia coli infection
A04.3,enterohemorrhagic escherichia coli infection
A04.4,other intestinal escherichia coli infections
A04.5,campylobacter enteritis
A04.6,enteritis due to yersinia enterocolitica
A04.71,"enterocolitis due to clostridium difficile, recurrent"
A04.72,"enterocolitis due to clostridium difficile, not specified as recurrent"
A04.8,other specified bacterial intestinal infections
A04.9,"bacterial intestinal infection, unspecified"
A05.0,foodborne staphylococcal intoxication
A05.1,botulism food poisoning
A05.2,foodborne clostridium perfringens [clostridium welchii] intoxication
A05.3,foodborne vibrio parahaemolyticus intoxication
A05.4,foodborne bacillus cereus intoxication
A05.5,foodborne vibrio vulnificus intoxication
A05.8,other specified bacterial foodborne intoxications
A05.9,"bacterial foodborne intoxication, unspecified"
A06.0,acute amebic dysentery
A06.1,chronic intestinal amebiasis
A06.2,amebic nondysenteric colitis
A06.3,ameboma of intestine
A06.4,amebic liver abscess
A06.5,amebic lung abscess
A06.6,amebic brain abscess
A06.7,cutaneous amebiasis
A06.81,amebic cystitis
A06.82,other amebic genitourinary infections
A06.89,other amebic infections
A06.9,"amebiasis, unspecified"
A07.0,balantidiasis
A07.1,giardiasis [lambliasis]
A07.2,cryptosporidiosis
A07.3,isosporiasis
A07.4,cyclosporiasis
A07.8,other specified protozoal intestinal diseases
A07.9,"protozoal intestinal disease, unspecified"
A08.0,rotaviral enteritis
