Prompts,CodigosCIE,codigosCIE10_pred
progressive weakness in the muscles,"R53.1,M62.81","G72.2, G72.3"
muscular debility in the limbs,"R53.1,M62.81","M62, M62.8"
lack of balance,"R27.8,R27.9","R11.2, G87.1"
insufficient muscle coordination,"R27.8,R27.9",G83.1
lack of muscle control,R27.0,R54.2
insufficient balance,R27.0,
slower speach,"R47.01,R47.1","R29.0, G44.3"
comunication has decelerated,"R47.01,R47.1",
slurred speach,R47.81,"R12.0, G04.2"
comunication has become indistinct,R47.81,
difuculty articulating words,R47.82,
challenges in enunciating words,R47.82,"R14.2, R15.8, R14.3, R14, R15.0, R14.4, R15.1"
problems swollowing food and liquids,"R13.1,R13.10","R12.0, Z92.3"
choking during meals,"R13.1,R13.10","R09.0, Z92"
coughing during meals,R05.1,"Z92, R05.1, R05, R10.0, R05.0"
dificulties ingesting food an beverages,R05.1,"K05, X42.2"
shortness of breath,"R06.00,R06.02",R06
breathlessness,"R06.00,R06.02",R06.0
tightness in the chest,"R07.1,R07.81,R07.9",I20.9
contriction in the chest,"R07.1,R07.81,R07.9",I20.9
shortness of breath,"R06.00,R06.02",R06
breathlessness,"R06.00,R06.02",R06.0
muscel stiffness,R25.3,G82.1
muscle rigidity,R25.3,R24.0
anxiety,"F41.0,F41.9","F41.2, F41.3, F41.9, F41.1, F41.0"
unease,"F41.0,F41.9",
depresion,"F32.0,F32.1,F32.A",
despondency,"F32.0,F32.1,F32.A",
concentration difficulties,R41.840,"R45.3, G93.3"
challenges in focus,R41.840,"R06, I42.0, I20.9"
memory loss,R41.3,"F02.9, G30.0, R41.3"
lapses in memory,R41.3,G31.0
extreme fatigue,"R53.82,R53.83",
severe exhaustion,"R53.82,R53.83",E43.9
difficulty in holding objects firmly,"R29.9,R29.91",R45
chalenges in grasping items securely,"R29.9,R29.91",G84.1
muscel atrophy,M62.81,"G72.1, M62, M62.8, G72.2, R53.1"
muscle wasting,M62.81,"M62, M62.8"
loss os muscle mass,M62.84,E40.0
reducction in muscle volume,M62.84,R54.2
weakness,R53.1,"R54, R54.2, R54.8"
debility,R53.1,R54.2
tension in the muscles,M62.9,R24.6
tightness in the muscle,M62.9,R25.0
muscle crmaps,R25.2,"R29.2, R29.0"
muscle spasms,R25.2,M47.2
painfull and involuntary contractions,M62.838,"R29.2, G45.1"
uncontrolled contractions in muscles,M62.838,G26.4
bilateral facial muscle weakness,"M62.81,G51.0,R29.810","G51.0, G51.8"
symmetric facial muscle weakness,"M62.81,G51.0,R29.810",G51.0
inappropriate facial movements,R25.0,R54.8
inadequate facial gestures,R25.0,R47.3
facial tics,F95.0,G44.1
facial twitches,F95.0,G43.9
twitching,M62.838,G26.0
spasms,M62.838,G45.1
changes in the patient's posture,R29.898,R35.0
alterations in the patient's body position,R29.898,
difficulty in standing upright,R26.81,R54.2
chalenges in maintaining erect stance,R26.81,"R35.4, G83.1"
muscel weakness,M62.81,"G72.2, R54.2"
diminished muscle strength muscel weakness,M62.81,"M62, M62.8"
weakness in the neck muscles,"M62.58,M62.5A0",G51.0
muscle weakness in the neck,"M62.58,M62.5A0","R54, R54.2, G51.9, G51"
forward leaning posture,R29.3,R24.3
tendency to lean forward,R29.3,R24.3
twitching of different areas of the body,"R25.3,R25.8,R25.9","G26.1, G26.0"
spasms in various regions of the body,"R25.3,R25.8,R25.9","G26.1, G26.2, G26.8, G26.4, G26.0, G26.9, G26.3, R29.0"
muscle contractions visible under the skin,"R25.3,R25.8,R25.9",R29.0
muscle twitches discernible beneath the skin,"R25.3,R25.8,R25.9",M47.3
loss of control over bladder and bowel,"R15.0,R32,N39.41,N39.46","R10.2, R35.0"
bladder and bowel management has become compromised,"R15.0,R32,N39.41,N39.46","R11.2, R10"
urinary leakage,"R32,N39.41",R35.0
urinary incontinence,"R32,N39.41",R35.0
fecal incontinence,R15.0,R10
fecal leakage,R15.0,"R10.3, K57.2"
difficulties with fine and precise hand movements,"R27.0,R29.898",G84.1
challenges with delicate and exact hand motions,"R27.0,R29.898",G84.1
increased sensitivity to heat or cold,R20.8,"T24.2, T24.1"
heightened responsiveness to warmth or chill,R20.8,G93.3
changes in skin colour,"L81.0,L81.9","R94.8, R94.3, R94.1, R94.0, R94.2"
alterations in skin hue,"L81.0,L81.9","R94.8, R94.3, R94.9, R94.1, R94.0, R94.2"
ataxic gait,R26.0,G81.2
ataxic walking,R26.0,G26.0
difficulty in making coordinated eye movements,"H55.00,H55.81",H46.3
challenges in executing synchronized eye movements,"H55.00,H55.81",
changes in tactile sensitivity,R20.3,"H51.9, G82.1"
alterations in tactile sensitivity,R20.3,R26.0
changes in pain perception,R20.3,"R54.8, R54.1, R52.0, R54.2"
alterations in pain perception,R20.3,G47.3
numbness,"R20.0,R20.2",G53.1
tingling,"R20.0,R20.2",G53.1
unexplain pain,R52,
inexplicable disconfort,R52,
voice changes,R49.0,R05.1
alterations in voice quality,R49.0,R05.1
hoarse,"R49.0,R49.1","R05.8, R05.1, R05.0, R05.2"
huskiness,"R49.0,R49.1",
weak voice,"R49.0,R49.1",R05.1
feebleness,"R49.0,R49.1",G81.2
affectation in the laryngeal muscles,J38.00,"R01.0, R11.0"
