Prompts,CodigosCIE,codigosCIE10_pred
progressive weakness in the muscles,"R53.1,M62.81","M62, M62.8"
muscular debility in the limbs,"R53.1,M62.81","M62, M62.8"
lack of balance,"R27.8,R27.9","R11.2, R25.5"
insufficient muscle coordination,"R27.8,R27.9",G84.1
lack of muscle control,R27.0,R54.2
insufficient balance,R27.0,"H85, G04.1"
slower speach,"R47.01,R47.1","I20.9, R06"
comunication has decelerated,"R47.01,R47.1","Z79.4, R14.2"
slurred speach,R47.81,"M62, R53.1, M62.8"
comunication has become indistinct,R47.81,"G40.0, R15.0"
difuculty articulating words,R47.82,"R12.0, R14.3"
challenges in enunciating words,R47.82,"R05, G02.0"
problems swollowing food and liquids,"R13.1,R13.10","R12.0, R14.2"
choking during meals,"R13.1,R13.10","R10.0, Z92"
coughing during meals,R05.1,"K30.0, R11.0"
dificulties ingesting food an beverages,R05.1,"R15.0, K05.5"
shortness of breath,"R06.00,R06.02",R06
breathlessness,"R06.00,R06.02",R06
tightness in the chest,"R07.1,R07.81,R07.9","I20.9, I21.3"
contriction in the chest,"R07.1,R07.81,R07.9","I21.1, R00.1, T54.8, I20.2, I20.9, I21.2, I20.1, R00.0, R00.2, R00.9, T54, T54.9, I21.9, I21.0, I20.0"
shortness of breath,"R06.00,R06.02",R06
breathlessness,"R06.00,R06.02","J96, R06, J47, J46.0"
muscel stiffness,R25.3,G82.1
muscle rigidity,R25.3,G81.2
anxiety,"F41.0,F41.9","G40.0, F41.3, F41.0, F41, F41.1, F41.9"
unease,"F41.0,F41.9","R43.0, R54.8"
depresion,"F32.0,F32.1,F32.A",
despondency,"F32.0,F32.1,F32.A",
concentration difficulties,R41.840,"R42.8, R45.3"
challenges in focus,R41.840,"R43.2, G04.3"
memory loss,R41.3,"G30.0, F03.1, G31.0, F02"
lapses in memory,R41.3,"R06, R11.0, R13.2"
extreme fatigue,"R53.82,R53.83",Z72.5
severe exhaustion,"R53.82,R53.83",Z77.5
difficulty in holding objects firmly,"R29.9,R29.91","R45, R29.0"
chalenges in grasping items securely,"R29.9,R29.91","R67.0, G84.1"
muscel atrophy,M62.81,"G72.1, G72.2"
muscle wasting,M62.81,"G40.0, M62.8"
loss os muscle mass,M62.84,E40.0
reducction in muscle volume,M62.84,G47.1
weakness,R53.1,"R54.2, R54.8"
debility,R53.1,R54.8
tension in the muscles,M62.9,R24
tightness in the muscle,M62.9,G43.2
muscle crmaps,R25.2,"R29.0, R29.2"
muscle spasms,R25.2,"R29.4, G26.0"
painfull and involuntary contractions,M62.838,"G47.5, G47.7, R54.1, G47.6, G47.1, G47.4, R54.2, G47.3, G47.2, R29.2"
uncontrolled contractions in muscles,M62.838,"G25.9, G26, G26.4, G26.1, G26.0, G26.3, G26.2"
bilateral facial muscle weakness,"M62.81,G51.0,R29.810","G51.2, G51.3"
symmetric facial muscle weakness,"M62.81,G51.0,R29.810","G51.9, G52.4"
inappropriate facial movements,R25.0,F84.1
inadequate facial gestures,R25.0,"G47.0, G47.1, G47.4, G47.3, G47.2"
facial tics,F95.0,G26.1
facial twitches,F95.0,"R15.2, G43.9"
twitching,M62.838,"G20.9, G25.9, G23.9, G21.9, G26.1, G22.9, G26.0, G24.9"
spasms,M62.838,"G45.1, R29.2"
changes in the patient's posture,R29.898,R35.0
alterations in the patient's body position,R29.898,
difficulty in standing upright,R26.81,"G83.1, R54.2"
chalenges in maintaining erect stance,R26.81,"G83.1, G83.2, R35.4, G83.8, G83.3, G83.5, G83.4, G83.9"
muscel weakness,M62.81,"M62, M62.8"
diminished muscle strength muscel weakness,M62.81,"M62, M62.8"
weakness in the neck muscles,"M62.58,M62.5A0","G51.9, R47.0"
muscle weakness in the neck,"M62.58,M62.5A0",G51.3
forward leaning posture,R29.3,"R54.0, M47.3"
tendency to lean forward,R29.3,
twitching of different areas of the body,"R25.3,R25.8,R25.9","G11.2, G11.3"
spasms in various regions of the body,"R25.3,R25.8,R25.9","G26, G26.4, G26.1, R25.4, G26.3, R25.5, G26.2, R29.2"
muscle contractions visible under the skin,"R25.3,R25.8,R25.9","G72, R29.0"
muscle twitches discernible beneath the skin,"R25.3,R25.8,R25.9",R25.4
loss of control over bladder and bowel,"R15.0,R32,N39.41,N39.46",R10
bladder and bowel management has become compromised,"R15.0,R32,N39.41,N39.46","R11.2, K59.0, R35.1, R35.0, R10.3"
urinary leakage,"R32,N39.41",N30.9
urinary incontinence,"R32,N39.41",R35.0
fecal incontinence,R15.0,R10.0
fecal leakage,R15.0,"K59.0, R10.3"
difficulties with fine and precise hand movements,"R27.0,R29.898","R47.0, G82.3"
challenges with delicate and exact hand motions,"R27.0,R29.898","G84.2, G84"
increased sensitivity to heat or cold,R20.8,"T24.1, T24.2"
heightened responsiveness to warmth or chill,R20.8,"T65.0, T42.1"
changes in skin colour,"L81.0,L81.9","E11, E12, E17, E14, E15, E16, E13"
alterations in skin hue,"L81.0,L81.9","E11.9, E23.0, E24.0, E21.0, E28.0, E20.0, E27.0, E22.0, E26.0, E86.0, E25.0"
ataxic gait,R26.0,G81.2
ataxic walking,R26.0,G81.2
difficulty in making coordinated eye movements,"H55.00,H55.81",H46.3
challenges in executing synchronized eye movements,"H55.00,H55.81",H86.0
changes in tactile sensitivity,R20.3,"R25.8, R26, R26.3, R26.2, R26.8, R25.9, R25.4, R26.9, R26.5, R26.4, R25.5, R25, R26.1, R25.3, R25.2, R25.1"
alterations in tactile sensitivity,R20.3,
changes in pain perception,R20.3,"R54.8, R52, G47.0"
alterations in pain perception,R20.3,"R54.5, R65.2, R54.9"
numbness,"R20.0,R20.2","G59.6, G59.4, G59.1, G59.5, G59.3, G59.7, H51.9, G59.0, G59.2, G59.8"
tingling,"R20.0,R20.2",G59
unexplain pain,R52,
inexplicable disconfort,R52,"R10, R11, R52"
voice changes,R49.0,R05
alterations in voice quality,R49.0,R05
hoarse,"R49.0,R49.1",R05.1
huskiness,"R49.0,R49.1",
weak voice,"R49.0,R49.1",
feebleness,"R49.0,R49.1","R24.2, R24.1, R24.9, R24.8, R24.0, R24.3"
affectation in the laryngeal muscles,J38.00,"R11.0, R05.1"
dysfunction of the laryngeal muscles,J38.00,"R11.0, R05.1"
difficulty maintaining an adequate body temperature,R68.0,R65.2
challenges in maintaining a suitable body temperature,R68.0,"Z87, Z87.4"
excessive sweating,R61,R67.0
spells of profuse sweating,R61,R11.0
difficulties in falling asleep,G47.00,Z75.5
struggles with insomnia,G47.00,"Z76, G47.0"
difficulties  maintaining restful sleep,G47.00,"Z72.9, G47"
struggles maintaining peaceful sleep,G47.00,"Z72.9, G47"
dizziness,R42,G04.3
lighthededness,R42,
vertigo,H81.09,
spining sensation,H81.09,"R25.9, G44.3, R25.5, H81.1, R25.0, H81.8, G44.8, R25.4, H81.9, G44.0, R25.2, R25.1, R25.8, H81.7, H81.3, G44.2, H81.4, H81.5, G44.1, H81.6, H81.2, G44.9, R25.3"
temporomandibular joint problems,M26.609,K03
temporomandibular joint issues,M26.609,"K07.0, K07.1"
difficulty in opening or closing the mouth completely,M26.609,G47.0
challenges in fully opening or closing the mout,M26.609,G52.1
